,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14,n1_high,n2_low,signal,keep,benchmark_profit,trend_profit
2016-04-22,253.75,254.0,245.71,2.199,248.89,248.29,3786327,20160422,4,691,11.042441969391167,10.313627613683018,269.34,240.0,,1.0,0.021752112515153337,0.021752112515153337
2016-04-25,251.82,257.38,250.76,-0.7609999999999999,253.01,253.75,3670348,20160425,0,692,10.864947244901066,10.150477265191956,269.34,240.0,,1.0,-0.007634983782442614,-0.007634983782442614
2016-04-26,253.74,255.73,249.39,0.762,252.05,251.82,3223839,20160426,1,693,10.453588404455514,9.642413629833028,269.34,241.25,,1.0,0.00759557413889773,0.00759557413889773
2016-04-27,251.47,255.0,249.4,-0.895,252.75,253.74,3205808,20160427,2,694,10.012353094959558,9.10342514585529,269.34,241.25,,1.0,-0.008986422581830142,-0.008986422581830142
2016-04-28,247.71,253.43,247.44,-1.495,249.85,251.47,2518990,20160428,3,695,9.674866449963229,8.72963512640791,269.34,241.25,,1.0,-0.015064991033175162,-0.015064991033175162
2016-04-29,240.76,248.43,237.81,-2.806,248.14,247.71,5413787,20160429,4,696,10.037151318148386,9.387017109553515,269.34,237.81,0.0,1.0,-0.028458120417876934,-0.028458120417876934
2016-05-02,241.8,243.19,234.82,0.43200000000000005,241.5,240.76,3843935,20160502,0,697,10.296501198316708,9.85408149494637,269.34,234.82,,0.0,0.004310351501122263,0.0
2016-05-03,232.32,238.91,231.62,-3.9210000000000003,237.36,241.8,4302222,20160503,1,698,10.191364725742456,9.758870628953515,269.34,231.62,0.0,0.0,-0.03999520654426116,-0.0
2016-05-04,222.56,234.46,220.4,-4.2010000000000005,230.29,232.32,8700459,20160504,2,699,11.21033156885678,11.311021211759714,269.34,220.4,0.0,0.0,-0.04291900346129844,-0.0
2016-05-05,211.53,228.64,209.79,-4.956,228.46,222.56,11254827,20160505,3,700,12.239392335324348,12.806885050191752,269.34,209.79,0.0,0.0,-0.0508298957760739,-0.0
2016-05-06,214.93,216.37,208.11,1.607,210.87,211.53,5685237,20160506,4,701,12.44035666847668,13.025967043499518,269.34,208.11,,0.0,0.015945561320125465,0.0
2016-05-09,208.92,216.15,206.8,-2.7960000000000003,215.72,214.93,4776383,20160509,0,702,12.159415153160618,12.535838104366247,269.34,206.8,,0.0,-0.028360990151086576,-0.0
2016-05-10,208.69,209.47,205.0,-0.11,207.55,208.92,4070617,20160510,1,703,11.956741048327835,12.188393023784082,269.34,205.0,,0.0,-0.0011015063013587872,-0.0
2016-05-11,208.96,215.48,206.05,0.129,207.59,208.69,5161864,20160511,2,704,11.727037316661669,11.820607287279534,269.34,205.0,,0.0,0.0012929488213272136,0.0
2016-05-12,207.28,211.67,203.657,-0.804,211.44,208.96,3650475,20160512,3,705,11.389397560601514,11.31292631564226,269.34,203.657,,0.0,-0.00807230983421172,-0.0
2016-05-13,207.61,211.2,206.7,0.159,207.78,207.28,2822781,20160513,4,706,10.763088691455922,10.404536140223293,269.34,203.657,,0.0,0.0015907834346032684,0.0
2016-05-16,208.29,213.15,207.92,0.32799999999999996,208.15,207.61,2949396,20160516,0,707,10.318262446778114,9.79993132152686,269.34,203.657,,0.0,0.0032700197448337965,0.0
