,ts_code,trade_time,open,high,low,close,vol,amount,trade_date,pre_close
19,000001.SZ,2013-01-04 14:41:00,16.0,16.0,15.99,15.99,43100.0,689450.0,20130104,16.0
20,000001.SZ,2013-01-04 14:40:00,16.0,16.0,15.99,16.0,31644.0,506187.0,20130104,15.99
21,000001.SZ,2013-01-04 14:39:00,15.99,15.99,15.99,15.99,298918.0,4781309.0,20130104,16.0
22,000001.SZ,2013-01-04 14:38:00,15.99,16.0,15.98,16.0,160545.0,2567327.0,20130104,15.99
23,000001.SZ,2013-01-04 14:37:00,16.01,16.02,15.99,15.99,457273.0,7316807.0,20130104,16.01
24,000001.SZ,2013-01-04 14:36:00,16.02,16.02,16.01,16.01,301321.0,4822669.0,20130104,16.02
25,000001.SZ,2013-01-04 14:35:00,16.0,16.04,16.0,16.02,91600.0,1467419.0,20130104,16.0
26,000001.SZ,2013-01-04 14:34:00,15.98,16.0,15.97,16.0,441525.0,7060220.0,20130104,15.98
27,000001.SZ,2013-01-04 14:33:00,15.98,15.99,15.98,15.98,299883.0,4792680.0,20130104,15.99
28,000001.SZ,2013-01-04 14:32:00,16.05,16.05,15.98,15.99,840969.0,13460538.0,20130104,16.05
29,000001.SZ,2013-01-04 14:31:00,16.04,16.05,16.04,16.05,74119.0,1189337.0,20130104,16.04
30,000001.SZ,2013-01-04 14:30:00,16.1,16.1,16.04,16.04,195140.0,3135072.0,20130104,16.09
31,000001.SZ,2013-01-04 14:29:00,16.12,16.12,16.09,16.09,95750.0,1542119.0,20130104,16.12
32,000001.SZ,2013-01-04 14:28:00,16.14,16.14,16.12,16.12,38354.0,618426.0,20130104,16.13
33,000001.SZ,2013-01-04 14:27:00,16.1,16.13,16.09,16.13,154754.0,2491755.0,20130104,16.1
34,000001.SZ,2013-01-04 14:26:00,16.08,16.1,16.08,16.1,404600.0,6511616.0,20130104,16.1
35,000001.SZ,2013-01-04 14:25:00,16.1,16.1,16.08,16.1,322007.0,5180358.0,20130104,16.1
36,000001.SZ,2013-01-04 14:24:00,16.1,16.1,16.09,16.1,139737.0,2249963.0,20130104,16.14
37,000001.SZ,2013-01-04 14:23:00,16.14,16.15,16.13,16.14,34384.0,555033.0,20130104,16.15
38,000001.SZ,2013-01-04 14:22:00,16.12,16.15,16.1,16.15,396137.0,6389054.0,20130104,16.13
39,000001.SZ,2013-01-04 14:21:00,16.14,16.14,16.12,16.13,50346.0,811971.0,20130104,16.14
40,000001.SZ,2013-01-04 14:20:00,16.13,16.14,16.13,16.14,232076.0,3744742.0,20130104,16.13
41,000001.SZ,2013-01-04 14:19:00,16.12,16.13,16.1,16.13,75381.0,1215527.0,20130104,16.12
42,000001.SZ,2013-01-04 14:18:00,16.1,16.12,16.09,16.12,120141.0,1934204.0,20130104,16.1
43,000001.SZ,2013-01-04 14:17:00,16.09,16.1,16.09,16.1,136400.0,2195718.0,20130104,16.1
44,000001.SZ,2013-01-04 14:16:00,16.1,16.1,16.08,16.1,28800.0,463545.0,20130104,16.09
45,000001.SZ,2013-01-04 14:15:00,16.1,16.1,16.08,16.09,60945.0,980148.0,20130104,16.1
